time/fps,time/total_timesteps,time/iterations,time/time_elapsed,train/learning_rate,train/loss,train/approx_kl,train/explained_variance,train/clip_range,train/clip_fraction,train/policy_gradient_loss,train/n_updates,train/value_loss,train/entropy_loss
361,301056,147,833,0.001,-0.16890458762645721,0.14542705,-3.2041258811950684,0.2,0.725244140625,-0.12857261243043466,1460,4.081217126383762e-06,-2.7957214206457137
361,303104,148,839,0.001,-0.0510006882250309,0.03537551,-4.4345855712890625e-05,0.2,0.197119140625,-0.035684635455254465,1470,0.04110279909800738,-2.8185018718242647
361,305152,149,845,0.001,-0.05541352182626724,0.026369391,-0.00027489662170410156,0.2,0.182763671875,-0.02637752703158185,1480,0.008530439872265561,-2.8390180259943008
360,307200,150,851,0.001,-0.17571033537387848,0.14034292,-6.733363628387451,0.2,0.69345703125,-0.12576354540651663,1490,1.4655969913235367e-06,-2.814335140585899
361,309248,151,856,0.001,-0.18091146647930145,0.1819916,-5.9299798011779785,0.2,0.74541015625,-0.13172112536849453,1500,7.705201671370787e-07,-2.7879412949085234
360,311296,152,862,0.001,-0.18050217628479004,0.20648874,-4.082754611968994,0.2,0.7896484375,-0.13536719464464114,1510,4.949479281535219e-07,-2.7622422009706495
360,313344,153,868,0.001,-0.0605429969727993,0.035196677,-2.9087066650390625e-05,0.2,0.201416015625,-0.02797603895305656,1520,0.008543414931045845,-2.8244027584791183
360,315392,154,874,0.001,-0.04396068677306175,0.035252728,-3.504753112792969e-05,0.2,0.19033203125,-0.04118325588060543,1530,0.045734129031188786,-2.8363736122846603
360,317440,155,879,0.001,-0.0595121793448925,0.022008039,-0.0005344152450561523,0.2,0.130419921875,-0.02968400575919077,1540,0.008483771815372165,-2.850661778450012
360,319488,156,885,0.001,-0.18167617917060852,0.15356505,-4.263592720031738,0.2,0.704541015625,-0.12833666735095903,1550,9.988477604139235e-07,-2.8028497010469438
360,321536,157,891,0.001,-0.18380022048950195,0.18017563,-2.0409626960754395,0.2,0.751416015625,-0.1343723326397594,1560,6.346349298524956e-07,-2.7742969930171966
360,323584,158,896,0.001,-0.18471789360046387,0.18961225,-3.340188980102539,0.2,0.75966796875,-0.1319762794941198,1570,4.1311678042887936e-07,-2.7524852067232133
360,325632,159,902,0.001,-0.1840025931596756,0.17808598,-4.654397487640381,0.2,0.750244140625,-0.12816115922760218,1580,2.1582823928056882e-07,-2.754976961016655
360,327680,160,908,0.001,-0.05884663388133049,0.03644497,-1.5735626220703125e-05,0.2,0.22109375,-0.02603784801904112,1590,0.008483353033079765,-2.8036316841840745
360,329728,161,913,0.001,-0.0644143596291542,0.028204974,-0.000274658203125,0.2,0.141015625,-0.029132296936586498,1600,0.009497545348131098,-2.8371192634105684
360,331776,162,919,0.001,-0.17490799725055695,0.12790039,-6.2226057052612305,0.2,0.703369140625,-0.12727931700646877,1610,8.700854671417346e-07,-2.8012237519025804
360,333824,163,924,0.001,-0.053432486951351166,0.041234504,-8.106231689453125e-06,0.2,0.236865234375,-0.044264073972590266,1620,0.05261165229603648,-2.806294509768486
