time/iterations,rollout/ep_len_mean,time/fps,train/n_updates,train/learning_rate,train/value_loss,time/total_timesteps,train/entropy_loss,time/time_elapsed,train/explained_variance,rollout/ep_rew_mean,train/policy_loss
10600,1289.0,324,10599,0.0007,0.04848222807049751,848000,-0.020823011174798012,2614,0.9886918868869543,57.6,0.00037838268326595426
10700,1353.4,324,10699,0.0007,0.02825060859322548,856000,-0.03883097320795059,2638,0.9957081684842706,54.6,0.002463538898155093
10800,1386.9,324,10799,0.0007,0.07991663366556168,864000,-0.015896905213594437,2662,0.9834212940186262,54.9,-0.043918538838624954
10900,1322.8,324,10899,0.0007,0.008138253353536129,872000,-0.029009534046053886,2686,0.9980158770922571,55.6,0.000693483860231936
11000,1222.0,324,10999,0.0007,0.0019474808359518647,880000,-0.01404708344489336,2710,0.9997642537637148,53.0,0.00010813083645189181
11100,1200.1,324,11099,0.0007,0.0733741894364357,888000,-0.04174528643488884,2734,0.9908452210947871,48.0,0.0020633272361010313
11200,1102.1,324,11199,0.0007,0.02359944023191929,896000,-0.024156881496310234,2758,0.9961031239945441,46.9,0.0001927105913637206
11300,1212.4,324,11299,0.0007,0.08201862871646881,904000,-0.020126232877373695,2782,0.9865241283550858,48.8,0.017004676163196564
11400,1211.0,324,11399,0.0007,0.02427663281559944,912000,-0.018939770758152008,2806,0.9977752903942019,53.0,-9.430461068404838e-05
11500,1181.9,325,11499,0.0007,0.030997395515441895,920000,-0.042664941400289536,2830,0.9955862397328019,44.5,0.003084686351940036
11600,1244.5,325,11599,0.0007,0.0031014306005090475,928000,-0.019052138552069664,2854,0.999081427580677,47.1,4.930925206281245e-05
11700,1150.5,325,11699,0.0007,0.016443511471152306,936000,-0.012179767712950706,2878,0.9975447261240333,45.6,0.0031084641814231873
11800,1120.3,325,11799,0.0007,0.0023054026532918215,944000,-0.012494921684265137,2902,0.9996256979648024,44.0,-2.8204205591464415e-05
11900,1184.9,325,11899,0.0007,0.04642065241932869,952000,-0.06227855011820793,2926,0.9933423870243132,50.0,-0.009833103977143764
12000,1195.9,325,11999,0.0007,0.017008040100336075,960000,-0.029753947630524635,2950,0.9971000258810818,52.6,-0.0010924112284556031
12100,1284.0,325,12099,0.0007,0.04308082163333893,968000,-0.04604497179389,2974,0.980912959203124,57.0,-0.015381147153675556
12200,1248.7,325,12199,0.0007,0.010041112080216408,976000,-0.012070118449628353,2998,0.9983598859980702,57.6,-3.0323571991175413e-06
12300,1345.1,325,12299,0.0007,0.03086353838443756,984000,-0.011683749966323376,3022,0.9950670232065022,57.5,9.296625648858026e-05
12400,1286.3,325,12399,0.0007,0.09767063707113266,992000,-0.005660453345626593,3045,0.9799766652286053,54.7,0.00010576139902696013
12500,1288.0,325,12499,0.0007,0.12407374382019043,1000000,-0.016830673441290855,3069,0.975305886939168,54.2,-0.040558744221925735
